一级分类,二级分类,疾病,挂什么科,哪些症状,好发人群,治疗方法,治疗费用,是否传染,患病比例,治愈率,治疗周期,html
内科,心血管内科,成人呼吸窘迫综合征,呼吸内科、心血管内科,呼吸窘迫综合症、活动后气促、紫绀、烦躁不安、焦虑、出汗异常、呼吸异常,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000 —— 10000元）,否,3%,85%,2-4月,https://tag.120ask.com/jibing/crhxjpzhz/
内科,心血管内科,肺栓塞,呼吸内科,急性呼吸困难、肺栓塞、发绀、胸痛、心肺栓塞、晕厥、咯血、右心衰竭、肢端湿冷、胸膜摩擦音、胸腔积液、惊恐发作,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（20000-100000元）,否,0.005%,60%,1个月,https://tag.120ask.com/jibing/feishuansai/
内科,心血管内科,肺性脑病,呼吸内科、神经内科,头痛、头昏、记忆力障碍、意识障碍、嗜睡、昏睡、颅内压增高、肌阵挛、言语增多、幻觉、昏迷,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 8000元）,否,0.012%,70%,10-30天,https://tag.120ask.com/jibing/fxnb/
内科,心血管内科,急性呼吸窘迫综合征,呼吸内科,紫绀、烦躁不安、湿啰音、焦虑、呼吸性碱中毒、心脏停搏、呼吸困难、低氧血症、过度通气、水肿、混合型酸碱平衡紊乱、代谢性酸中毒,所有群体,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（20000-50000元）,否,发生在原有呼吸道感染的患者，发病率约0.03%--0.05%,60-85%,1-3个月,https://tag.120ask.com/jibing/jxhxjpzhz/
内科,心血管内科,继发性肺动脉高压,内科,气短、疲乏、头晕、胸痛,中老年人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 8000元）,否,2%,99%,120天,https://tag.120ask.com/jibing/jfxfdmgy/
内科,心血管内科,睡眠呼吸暂停综合征,神经内科,白天嗜睡夜间失眠、打鼾、头痛、智力减低、心律失常、男子性功能障碍、呼吸速率减慢且规则、呼吸异常、呼吸反射调节受损、疲劳、病理性REM睡眠、气息异常,肥胖人群，老年人,手术治疗,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 8000元）,否,肥胖人群中发病率可达15%,75%,4-6月,https://tag.120ask.com/jibing/smhxztzhz/
内科,心血管内科,细菌性肺炎,呼吸内科,发烧、持续高烧、咳嗽、咳痰、胸痛、畏寒、黏液脓性痰、咳出黄色痰液	、咳铁锈色痰、头痛、肌肉酸痛、乏力,所有人群,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（3000 —— 8000元）,否,人群患病概率0.033%,,治疗周期7天,https://tag.120ask.com/jibing/xjxfy/
内科,心血管内科,心律失常,心血管内科,心悸、胸闷、头晕,所有群体,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（3000-5000元）,否,人群患病概率0.6%,85%,2-4周,https://tag.120ask.com/jibing/xlsc/
内科,心血管内科,胸腔积液,心胸外科,咳嗽、干咳、胸痛、胸膜摩擦音、胸闷,所有群体,手术治疗,根据不同医院，收费标准不一致，市三甲医院约（1000-5000元）,否,0.0035%,80%,3个月,https://tag.120ask.com/jibing/xqjy/
内科,心血管内科,原发性肺动脉高压,心血管内科,呼吸困难、胸痛、晕厥、疲乏、咯血、水肿、眩晕,所有群体,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（3000-5000元）,否,0.001%-0.005%,70%,1-3个月,https://tag.120ask.com/jibing/yfxfdmgy/
内科,心血管内科,早搏,心血管内科,心悸、心音异常、心前区重压感、室性早搏、房性早搏、频发房性早搏,所有群体,药物治疗,根据不同医院，收费标准不一致，市三甲医院约（1000-5000元）,否,0.03%,70%,3个月,https://tag.120ask.com/jibing/zaobo/
内科,心血管内科,室性早搏,心血管内科,心律不齐、心慌、气短,容易生气的中老年患者多见,中医药物治疗、西医药物治疗,根据不同医院，收费标准不一致，市三甲医院约（1000 —— 2000元）,否,0.3%,95%,2-5周,https://tag.120ask.com/jibing/sxzb/
内科,心血管内科,休克,急诊科,皮肤湿冷、发绀、苍白、脉搏细速、呼吸急促、血压下降明显,全部群体,药物治疗,根据不同医院，收费标准不一致，市三甲医院约5000-10000元,否,0.1%,80%,1-3天,https://tag.120ask.com/jibing/xk/
内科,心血管内科,心房颤动,心血管内科,心悸、心慌、胸闷、心跳很乱、多尿、脉搏脱漏、无法数清每分钟脉搏次数、晕厥、室颤、高代谢征群、房室分离、慢性房颤,老年人,药物治疗、手术治疗,根据不同医院，收费标准不一致，市三甲医院约（10000-30000元）,否,20%(心脏病人之中占20%),78%,20天,https://tag.120ask.com/jibing/xfcd/
内科,心血管内科,心房扑动,心血管内科,心悸、胸闷、头晕、烦躁不安、胸痛、眩晕、恐惧、呼吸困难,心血管疾病患者,手术治疗、药物治疗,根据不同医院，收费标准不一致，市三甲医院约（5000-10000元）,否,0.02%-0.05%,,75天,https://tag.120ask.com/jibing/xfpd/
